year,month,anom
1948,1,-0.43
1948,2,-0.11
1948,3,0.12
1948,4,-0.0
1948,5,0.43
1948,6,-0.06
1948,7,0.0
1948,8,-0.22
1948,9,-0.47
1948,10,-0.95
1948,11,-1.01
1948,12,0.12
1949,1,-0.38
1949,2,0.07
1949,3,-0.85
1949,4,-0.22
1949,5,0.03
1949,6,-1.14
1949,7,-0.48
1949,8,-0.5
1949,9,-0.97
1949,10,-0.81
1949,11,-1.64
1949,12,-1.35
1950,1,-1.41
1950,2,-1.47
1950,3,-1.07
1950,4,-1.25
1950,5,-1.35
1950,6,-1.03
1950,7,-0.8
1950,8,-0.92
1950,9,-1.27
1950,10,-0.91
1950,11,-1.29
1950,12,-1.05
1951,1,-1.12
1951,2,-0.6
1951,3,-0.28
1951,4,-0.13
1951,5,-0.03
1951,6,0.1
1951,7,0.25
1951,8,0.4
1951,9,0.32
1951,10,0.57
1951,11,0.44
1951,12,0.38
1952,1,0.19
1952,2,0.09
1952,3,-0.3
1952,4,0.29
1952,5,-0.26
1952,6,-0.79
1952,7,-0.72
1952,8,-0.49
1952,9,-0.4
1952,10,-0.2
1952,11,-0.44
1952,12,-0.6
1953,1,0.27
1953,2,0.18
1953,3,-0.0
1953,4,0.37
1953,5,0.35
1953,6,0.53
1953,7,0.24
1953,8,0.05
1953,9,0.51
1953,10,-0.08
1953,11,0.44
1953,12,-0.14
1954,1,0.09
1954,2,0.24
1954,3,-0.25
1954,4,-0.62
1954,5,-0.49
1954,6,-0.63
1954,7,-0.79
1954,8,-1.16
1954,9,-1.34
1954,10,-0.7
1954,11,-0.8
1954,12,-0.95
1955,1,-0.66
1955,2,-0.74
1955,3,-0.85
1955,4,-0.89
1955,5,-1.28
1955,6,-0.8
1955,7,-1.27
1955,8,-0.92
1955,9,-1.43
1955,10,-1.94
1955,11,-1.9
1955,12,-1.72
1956,1,-1.44
1956,2,-0.79
1956,3,-0.68
1956,4,-0.72
1956,5,-0.63
1956,6,-0.66
1956,7,-0.78
1956,8,-0.92
1956,9,-0.95
1956,10,-0.82
1956,11,-0.85
1956,12,-0.56
1957,1,-0.4
1957,2,-0.16
1957,3,0.0
1957,4,0.36
1957,5,0.54
1957,6,0.17
1957,7,0.35
1957,8,0.81
1957,9,0.33
1957,10,0.63
1957,11,0.79
1957,12,0.96
1958,1,1.37
1958,2,1.35
1958,3,0.91
1958,4,0.44
1958,5,0.35
1958,6,0.28
1958,7,0.1
1958,8,0.15
1958,9,-0.16
1958,10,-0.09
1958,11,0.14
1958,12,0.06
1959,1,0.55
1959,2,0.36
1959,3,0.16
1959,4,0.2
1959,5,0.15
1959,6,-0.29
1959,7,-0.5
1959,8,-0.47
1959,9,-0.49
1959,10,-0.25
1959,11,-0.25
1959,12,-0.24
1960,1,-0.4
1960,2,-0.37
1960,3,-0.21
1960,4,-0.16
1960,5,-0.25
1960,6,-0.43
1960,7,-0.41
1960,8,-0.32
1960,9,-0.3
1960,10,-0.43
1960,11,-0.49
1960,12,-0.34
1961,1,-0.3
1961,2,-0.2
1961,3,-0.41
1961,4,-0.37
1961,5,-0.27
1961,6,-0.03
1961,7,-0.41
1961,8,-0.64
1961,9,-0.82
1961,10,-0.82
1961,11,-0.43
1961,12,-0.57
1962,1,-0.68
1962,2,-0.53
1962,3,-0.49
1962,4,-0.45
1962,5,-0.71
1962,6,-0.48
1962,7,-0.42
1962,8,-0.46
1962,9,-0.77
1962,10,-0.67
1962,11,-0.64
1962,12,-0.72
1963,1,-0.76
1963,2,-0.51
1963,3,-0.29
1963,4,-0.17
1963,5,-0.31
1963,6,-0.41
1963,7,0.52
1963,8,0.42
1963,9,0.44
1963,10,0.57
1963,11,0.47
1963,12,0.57
1964,1,0.48
1964,2,0.28
1964,3,-0.33
1964,4,-0.53
1964,5,-0.88
1964,6,-1.01
1964,7,-0.92
1964,8,-1.14
1964,9,-1.4
1964,10,-1.15
1964,11,-1.37
1964,12,-1.21
1965,1,-0.83
1965,2,-0.47
1965,3,-0.42
1965,4,-0.3
1965,5,-0.08
1965,6,0.37
1965,7,0.51
1965,8,0.68
1965,9,0.61
1965,10,1.07
1965,11,1.02
1965,12,1.04
1966,1,0.78
1966,2,0.44
1966,3,0.66
1966,4,0.28
1966,5,-0.4
1966,6,0.1
1966,7,0.18
1966,8,-0.29
1966,9,-0.34
1966,10,-0.39
1966,11,-0.27
1966,12,-0.53
1967,1,-0.81
1967,2,-0.75
1967,3,-0.58
1967,4,-0.64
1967,5,-0.31
1967,6,-0.1
1967,7,-0.31
1967,8,-0.55
1967,9,-0.79
1967,10,-0.61
1967,11,-0.51
1967,12,-0.52
1968,1,-0.73
1968,2,-0.7
1968,3,-0.78
1968,4,-0.52
1968,5,-0.68
1968,6,0.09
1968,7,0.06
1968,8,0.01
1968,9,-0.24
1968,10,0.12
1968,11,0.53
1968,12,0.45
1969,1,0.96
1969,2,0.99
1969,3,0.5
1969,4,0.38
1969,5,0.46
1969,6,0.2
1969,7,-0.11
1969,8,0.17
1969,9,0.33
