condition,roc_auc,pr_auc,accuracy,recall,precision,f1,n_test,n_positive,prevalence,lift_over_prevalence,n_features,config
baseline_persistence,0.9147611153576148,0.38173646844850495,0.9381655979927516,0.5479763528876762,0.3405879027699265,0.4200801812794143,53805,2199,0.040869807638695285,9.340304995394185,1,h4_inc100
baseline_growth_rate,0.7945958971989765,0.14586403667116665,0.8893783105659325,0.40427467030468395,0.16073042849394323,0.230012936610608,53805,2199,0.040869807638695285,3.5689924934479866,1,h4_inc100
baseline_moving_average,0.7908809467374947,0.12534662212311043,0.7971378124709599,0.5884492951341519,0.11447275300778485,0.19166111234540473,53805,2199,0.040869807638695285,3.06697362589084,1,h4_inc100
model_incidence_only,0.941312667849907,0.4939888406969123,0.9500418176749372,0.6089131423374261,0.422797600252605,0.4990682072307119,53805,2199,0.040869807638695285,12.08688930136306,15,h4_inc100
model_environment_only,0.8361754153717651,0.19436242994609282,0.929969333705046,0.2764893133242383,0.21831238779174147,0.24398073836276082,53805,2199,0.040869807638695285,4.755648268871998,43,h4_inc100
model_combined,0.9566461676595766,0.5831621797828711,0.9530712759037264,0.6930422919508867,0.45168938944872555,0.5469226628386865,53805,2199,0.040869807638695285,14.268777209284849,58,h4_inc100
baseline_persistence,0.955986025929448,0.3734620771043072,0.9686785468007113,0.5478767693588676,0.3574144486692015,0.43261012491781725,55106,1201,0.021794359960802815,17.135721249716863,1,h2_inc100
baseline_growth_rate,0.813237438331119,0.09352684702950186,0.9576634123325953,0.16736053288925895,0.13102998696219034,0.1469835466179159,55106,1201,0.021794359960802815,4.291332583187119,1,h2_inc100
baseline_moving_average,0.8263330398770279,0.0787539305105343,0.8317061662976808,0.5803497085761865,0.07362416816309285,0.13067116610423696,55106,1201,0.021794359960802815,3.6135004951819343,1,h2_inc100
model_incidence_only,0.96721417802513,0.4919393470655916,0.9746851522520233,0.5920066611157369,0.4399752475247525,0.5047923322683706,55106,1201,0.021794359960802815,22.571864828806405,15,h2_inc100
model_environment_only,0.8329748862004045,0.10972586073739728,0.93024353065002,0.32805995004163196,0.11483532497814049,0.17012089810017272,55106,1201,0.021794359960802815,5.034598902410504,43,h2_inc100
model_combined,0.9730355643864474,0.5575408246137383,0.9714550139730701,0.6969192339716903,0.4090909090909091,0.5155528179858331,55106,1201,0.021794359960802815,25.581885662918122,58,h2_inc100
baseline_persistence,0.8789019711482048,0.3966885708624153,0.8964164659233835,0.6048334421946441,0.3366660607162334,0.4325586827046596,46909,3062,0.06527532030100834,6.0771600818370475,1,h4_inc50
baseline_growth_rate,0.7569012725608406,0.1863244458853763,0.7746701059498178,0.547028086218158,0.1542641370418125,0.2406609195402299,46909,3062,0.06527532030100834,2.854439396485015,1,h4_inc50
baseline_moving_average,0.7559870952608989,0.16954160623307074,0.7716856040418683,0.5525800130633572,0.15337200870195794,0.24010217113665389,46909,3062,0.06527532030100834,2.5973308970565365,1,h4_inc50
model_incidence_only,0.9093463536595253,0.4770079806650917,0.919652945063847,0.5989549314173742,0.4192,0.49320962753798575,46909,3062,0.06527532030100834,7.307631405949962,15,h4_inc50
model_environment_only,0.7651172638685405,0.2054968992815266,0.8847769084823808,0.3148269105160026,0.22570826504331537,0.26292104186553933,46909,3062,0.06527532030100834,3.1481561229252546,43,h4_inc50
model_combined,0.9336337311633645,0.5490445962838062,0.924683962565819,0.6688438928804703,0.4484344208451938,0.5368986761043387,46909,3062,0.06527532030100834,8.411212595387676,58,h4_inc50
