estado,n,n_outbreaks,recall,precision,FN,FP
SE,700.0,1.0,0.0,,1.0,0.0
RN,900.0,2.0,0.0,0.0,2.0,13.0
AP,200.0,7.0,0.14285714285714285,0.2,6.0,4.0
AL,900.0,18.0,0.3333333333333333,0.3157894736842105,12.0,13.0
AM,1200.0,38.0,0.5,0.6129032258064516,19.0,12.0
RO,700.0,25.0,0.56,0.6086956521739131,11.0,9.0
PA,4300.0,26.0,0.5769230769230769,0.625,11.0,9.0
TO,500.0,27.0,0.6296296296296297,0.4146341463414634,10.0,24.0
MA,2200.0,11.0,0.7272727272727273,0.4444444444444444,3.0,10.0
PE,3200.0,41.0,0.7317073170731707,0.42857142857142855,11.0,40.0
MS,800.0,49.0,0.7551020408163265,0.5873015873015873,12.0,26.0
BA,4300.0,260.0,0.85,0.7727272727272727,39.0,65.0
RS,4500.0,448.0,0.8660714285714286,0.8622222222222222,60.0,62.0
MT,1300.0,235.0,0.8723404255319149,0.8134920634920635,30.0,47.0
RJ,3800.0,359.0,0.8802228412256268,0.7651331719128329,43.0,97.0
ES,1100.0,259.0,0.8803088803088803,0.8837209302325582,31.0,30.0
GO,2400.0,520.0,0.8807692307692307,0.8513011152416357,62.0,80.0
AC,200.0,84.0,0.8809523809523809,0.8809523809523809,10.0,10.0
CE,3600.0,36.0,0.8888888888888888,0.6666666666666666,4.0,16.0
SC,3100.0,481.0,0.896049896049896,0.8742393509127789,50.0,62.0
SP,13600.0,4292.0,0.9123951537744641,0.9242388482416805,376.0,321.0
PB,1000.0,13.0,0.9230769230769231,0.46153846153846156,1.0,14.0
PR,3600.0,786.0,0.9376590330788804,0.8879518072289156,49.0,93.0
MG,7200.0,1572.0,0.9389312977099237,0.8929219600725953,96.0,177.0
DF,100.0,18.0,0.9444444444444444,1.0,1.0,0.0
PI,500.0,0.0,,,0.0,0.0
RR,100.0,0.0,,,0.0,0.0
