,0
LST_Night_mean,5146
LST_Day_mean,4614
NDVI_std,3695
umidmed_lag_4,3654
p_inc100k,3630
sewage_pct,3617
nino34,3482
EVI_mean,3409
precip_roll8_sum,3315
precip_roll4_sum,3294
NDVI_mean,3281
Rt_lag_4,3208
casos_growth_4,3166
water_supply_pct,3151
umidmax,3062
Rt_lag_2,3041
umidmed_lag_1,3006
pct_water,2891
Rt_lag_1,2888
umidmin,2882
Rt,2827
week_cos,2800
tempmed_roll8_mean,2763
casos_lag_8,2731
casos_growth_1,2729
elev_mean,2722
pct_grassland,2645
population_total,2611
tempmed_lag_4,2606
garbage_collection_pct,2562
precip_total_semana_lag_4,2556
sex_ratio,2500
pct_tree_cover,2483
tempmin,2479
precip_total_semana_lag_1,2459
umidmed,2435
pct_cropland,2427
tempmax,2388
tempmed_lag_1,2359
casos,2347
inc_roll4,2339
tempmed_roll4_mean,2307
soi,2289
area_km2,2279
tempmed,2267
precip_max_semana,1988
week_sin,1928
casos_lag_1,1886
pct_builtup,1848
casos_lag_4,1839
population_density,1634
casos_lag_2,1576
precip_total_semana,1516
casos_roll8_mean,1473
casos_roll4_mean,1299
median_age,1219
precip_media_semana,1105
dias_lluvia_semana,547
