,gain
p_inc100k,309276.9877806306
inc_roll4,104419.48612308502
casos,29964.668719291687
precip_roll4_sum,19354.5409886837
population_total,16495.31002497673
casos_growth_1,14087.22407925129
casos_growth_4,13046.508237481117
umidmed_lag_4,11931.588863253593
precip_total_semana_lag_4,11809.237269282341
precip_roll8_sum,11224.483088731766
casos_roll4_mean,10883.709176778793
tempmax,10246.384829163551
tempmin,9798.483579874039
population_density,9139.788998126984
week_sin,9115.455224335194
casos_lag_1,8989.826013088226
precip_max_semana,8969.538413524628
precip_total_semana_lag_1,8616.242743372917
casos_roll8_mean,8562.509861767292
casos_lag_2,8308.465048193932
tempmed_roll8_mean,8282.861171245575
precip_total_semana,7941.260525524616
tempmed_lag_1,7805.095909714699
casos_lag_8,7599.7316880226135
tempmed_lag_4,7256.617830276489
umidmax,7249.737429559231
week_cos,7221.699964642525
umidmed_lag_1,6595.03723692894
casos_lag_4,6552.250741183758
tempmed,6524.452539563179
tempmed_roll4_mean,6514.84069788456
umidmin,6331.192106127739
umidmed,5652.418270111084
dias_lluvia_semana,1735.0525486469269
precip_media_semana,1262.8756049871445
