estado,n,n_outbreaks,recall,precision,FN,FP
SE,707.0,1.0,0.0,0.0,1.0,1.0
AP,202.0,7.0,0.2857142857142857,0.2222222222222222,5.0,7.0
AL,909.0,18.0,0.3333333333333333,0.3,12.0,14.0
RN,909.0,2.0,0.5,0.08333333333333333,1.0,11.0
AM,1212.0,38.0,0.5263157894736842,0.625,18.0,12.0
RO,707.0,25.0,0.56,0.6363636363636364,11.0,8.0
TO,505.0,27.0,0.6296296296296297,0.4146341463414634,10.0,24.0
PA,4343.0,27.0,0.6296296296296297,0.5862068965517241,10.0,12.0
MA,2222.0,11.0,0.6363636363636364,0.3684210526315789,4.0,12.0
MS,808.0,49.0,0.7551020408163265,0.5606060606060606,12.0,29.0
PE,3232.0,41.0,0.7804878048780488,0.42105263157894735,9.0,44.0
BA,4343.0,260.0,0.8423076923076923,0.7398648648648649,41.0,77.0
PB,1010.0,13.0,0.8461538461538461,0.4230769230769231,2.0,15.0
CE,3636.0,36.0,0.8611111111111112,0.6326530612244898,5.0,18.0
RS,4545.0,448.0,0.8660714285714286,0.8719101123595505,60.0,57.0
ES,1111.0,264.0,0.8787878787878788,0.8754716981132076,32.0,33.0
RJ,3838.0,360.0,0.8805555555555555,0.7788697788697788,43.0,90.0
GO,2424.0,520.0,0.8807692307692307,0.8388278388278388,62.0,88.0
SC,3131.0,482.0,0.8817427385892116,0.8673469387755102,57.0,65.0
MT,1313.0,240.0,0.8916666666666667,0.8075471698113208,26.0,51.0
SP,13736.0,4328.0,0.9149722735674677,0.9232921426906039,368.0,329.0
AC,202.0,86.0,0.9186046511627907,0.8586956521739131,7.0,13.0
PR,3636.0,788.0,0.934010152284264,0.8835534213685474,52.0,97.0
MG,7272.0,1577.0,0.9422954977805961,0.8924924924924925,91.0,179.0
DF,101.0,18.0,0.9444444444444444,1.0,1.0,0.0
PI,505.0,0.0,,,0.0,0.0
RR,101.0,0.0,,,0.0,0.0
