,0
LST_Night_mean,4673
LST_Day_mean,4009
Rt_lag_4,3974
p_inc100k,3814
precip_roll8_sum,3701
precip_roll4_sum,3688
Rt_lag_1,3561
umidmed_lag_4,3550
casos_growth_1,3444
Rt_lag_2,3367
sewage_pct,3239
NDVI_std,3180
casos_growth_4,3156
umidmed_lag_1,3143
umidmin,3082
precip_total_semana_lag_4,3045
umidmax,3043
tempmed_roll8_mean,3004
water_supply_pct,2980
tempmed_lag_4,2883
EVI_mean,2849
Rt,2817
precip_total_semana_lag_1,2777
NDVI_mean,2712
inc_roll4,2684
pct_water,2684
umidmed,2683
tempmed_lag_1,2643
casos_lag_8,2615
week_cos,2547
nino34,2532
tempmed,2527
tempmin,2520
tempmax,2459
tempmed_roll4_mean,2429
garbage_collection_pct,2422
population_total,2394
pct_grassland,2312
casos,2288
precip_max_semana,2236
casos_lag_1,2175
pct_cropland,2168
sex_ratio,2157
elev_mean,2150
casos_lag_2,2103
pct_tree_cover,2056
casos_roll8_mean,2055
soi,2016
area_km2,1961
week_sin,1852
casos_lag_4,1774
precip_total_semana,1648
pct_builtup,1591
casos_roll4_mean,1576
population_density,1445
precip_media_semana,1129
median_age,1000
dias_lluvia_semana,678
