bin,n,predicted,observed
0,5555,8.25130485497227e-06,0.0
1,5555,1.730244933187405e-05,0.0
2,5555,2.734802419760571e-05,0.00018001800180018
3,5555,4.107375620296932e-05,0.00036003600360036
4,5555,6.294990037752945e-05,0.00018001800180018
5,5555,0.0001032419036302138,0.00036003600360036
6,5555,0.00020411627589767136,0.00108010801080108
7,5555,0.0005782274586966421,0.0012601260126012602
8,5555,0.0035253274787460367,0.012241224122412242
9,5555,0.09649855756623135,0.09252925292529253
10,5555,0.8182509232687247,0.6387038703870387
11,5555,0.9990449601018175,0.9931593159315931
