driver,mean_abs_shap,n_features,pct_of_total
Recent dengue incidence,3.4446394891861405,15,50.092835258035024
Temperature,0.7271053302997783,9,10.573753114161589
Population,0.5163600967735003,5,7.509041611669288
Seasonality,0.5082722736494752,2,7.3914264032796195
Rainfall,0.455658390191634,8,6.626301749563883
Humidity,0.3826137444138326,5,5.564067684456118
Land cover,0.3005473332626519,6,4.37063678205839
Sanitation,0.21418315030933177,3,3.1147065744250764
ENSO,0.1802598781607907,2,2.621385607605455
Vegetation (NDVI/EVI),0.14687163806168638,3,2.1358452147455584
