,mean_abs_shap
p_inc100k,1.617906447683806
inc_roll4,0.6633299045566373
week_cos,0.44447056905896937
population_total,0.24778764110678125
casos,0.22918130916712026
precip_roll4_sum,0.21697804136074472
LST_Night_mean,0.17400905136877468
week_sin,0.13716419719946668
Rt,0.13165660219737424
casos_growth_1,0.1277769943336587
casos_growth_4,0.1260013209994212
casos_lag_8,0.10720622057965579
umidmin,0.10636021762978971
nino34,0.10299977395792782
tempmin,0.09983405223852058
water_supply_pct,0.09813128242216561
precip_roll8_sum,0.09345875063058072
umidmax,0.09108344980904313
tempmax,0.09098855715583225
Rt_lag_4,0.09033399965332604
Rt_lag_1,0.08697744183304243
LST_Day_mean,0.08425968810397287
area_km2,0.0756622305450034
soi,0.07493496869075214
umidmed_lag_4,0.07223545071337428
tempmed_roll8_mean,0.0689532471402378
tempmed,0.06886714896856568
Rt_lag_2,0.06562500362631563
umidmed_lag_1,0.06461888122364627
precip_total_semana_lag_4,0.06361556857456625
pct_builtup,0.06334670631056802
pct_cropland,0.062312436105346085
garbage_collection_pct,0.06114063823671996
EVI_mean,0.061040703473441225
tempmed_roll4_mean,0.05857036518673268
casos_roll8_mean,0.05829528839580245
casos_lag_1,0.05473247158753616
NDVI_std,0.05232735721155103
sewage_pct,0.05207507984457968
NDVI_mean,0.05204380624467278
pct_water,0.051473381205374515
population_density,0.049812671603582395
casos_roll4_mean,0.049494384967014866
casos_lag_4,0.048316872622738295
umidmed,0.04744764942215407
precip_total_semana_lag_1,0.04704382092509647
tempmed_lag_1,0.04510549891346173
casos_lag_2,0.04489528351515887
elev_mean,0.04194143775939819
pct_grassland,0.04076766086402899
pct_tree_cover,0.038626057149188625
tempmed_lag_4,0.03785993991495398
sex_ratio,0.03751260728772498
precip_max_semana,0.02467462471579951
median_age,0.024639699607261322
precip_total_semana,0.02396023002326424
precip_media_semana,0.022687309224577797
dias_lluvia_semana,0.011091163679132461
