municipio,estado,data_iniSE,p_inc100k,y_inc_future,p
Santo Antônio do Descoberto,GO,2024-01-21,55.350018,522.912,0.3230769230769231
Pará de Minas,MG,2024-04-21,140.50273,461.50534,0.2474747474747474
Caetité,BA,2024-01-28,76.77691,403.07877,0.3230769230769231
Cachoeiras de Macacu,RJ,2024-02-18,94.642494,363.7241,0.39664804469273746
Mirassol,SP,2024-12-22,45.62977,336.71622,0.18012422360248448
Valença,BA,2024-03-24,44.686466,333.58966,0.2413793103448276
Itapetininga,SP,2024-05-26,146.74261,321.0369,0.2474747474747474
Cachoeiras de Macacu,RJ,2024-02-11,59.383526,302.48483,0.26618705035971224
São Francisco,MG,2024-01-21,48.713,300.07208,0.3333333333333333
Extrema,MG,2024-04-21,125.186844,295.21674,0.2930232558139535
Tauá,CE,2024-03-24,62.404163,283.4932,0.39664804469273746
Ponte Nova,MG,2024-01-14,45.934772,282.4138,0.2474747474747474
Penápolis,SP,2024-12-22,48.314625,281.8353,0.39664804469273746
Artur Nogueira,SP,2025-02-02,70.45816,269.1863,0.39664804469273746
Rolim de Moura,RO,2024-02-11,36.726128,267.57608,0.05204872646733112
