district,week_start,casos,p_inc100k,casos_roll4_mean,precip_roll4_sum,tempmed,umidmed,population_total,risk,risk_band,lat,lon
Matara,2026-07-06,615,75.54837061205237,393.5,137.9500000000001,27.562857142857144,82.32285714285715,814048,0.9990009252692914,Very High,5.9549,80.555
Colombo,2026-07-06,1625,69.91204849185729,890.0,201.10999999999993,26.614285714285717,84.95714285714287,2324349,0.991453916712739,Very High,6.9271,79.8612
Gampaha,2026-07-06,1224,53.105799856215185,1012.75,201.10999999999993,26.614285714285717,84.95714285714287,2304833,0.9914539167092005,Very High,7.084,80.0098
Hambanthota,2026-07-06,226,37.672757095730475,184.0,135.97,28.15285714285714,81.02285714285713,599903,0.9914539167012132,Very High,6.1429,81.1212
Kalutara,2026-07-06,644,52.70273366788113,505.25,185.75999999999993,27.192857142857143,83.83000000000001,1221948,0.991453916694933,Very High,6.5854,80.1289
Kandy,2026-07-06,555,40.35242572608919,413.5,126.83999999999995,25.357142857142858,84.52428571428572,1375382,0.9914539166574529,Very High,7.2906,80.6337
Ratnapura,2026-07-06,386,35.47771291912644,268.75,127.16999999999989,25.707142857142856,85.07857142857142,1088007,0.9914539166539655,Very High,6.6828,80.3992
Galle,2026-07-06,431,40.53288994803138,427.0,157.43000000000006,28.201428571428572,81.11,1063334,0.9914539166440893,Very High,6.0535,80.221
Kalmune,2026-07-06,61,57.12680277205469,36.75,83.91999999999999,29.54,72.84,106780,0.9723766156541686,Very High,7.4098,81.8203
Kegalle,2026-07-06,203,24.14803818007061,147.0,126.83999999999995,25.357142857142858,84.52428571428572,840648,0.9723766155284904,Very High,7.2513,80.3464
Puttalam,2026-07-06,180,23.609777595895046,115.5,83.16999999999989,28.00857142857143,77.74142857142859,762396,0.9723766155175758,Very High,8.0362,79.8283
Monaragala,2026-07-06,99,21.94839688022383,86.5,123.16999999999994,25.90285714285714,78.45285714285714,451058,0.9417484976097343,Very High,6.8728,81.3509
Badulla,2026-07-06,180,22.07491982511758,100.0,123.16999999999994,25.90285714285714,78.45285714285714,815405,0.9417484974793504,Very High,6.9934,81.055
Matale,2026-07-06,89,18.368277777892438,267.0,126.83999999999995,25.357142857142858,84.52428571428572,484531,0.8974368216680122,Very High,7.4675,80.6234
Polonnaruwa,2026-07-06,79,19.45391146746518,59.25,67.09000000000012,29.017142857142858,69.35142857142857,406088,0.8908055218421533,Very High,7.9403,81.0188
Kurunegala,2026-07-06,262,16.188178304751723,288.5,126.83999999999995,25.357142857142858,84.52428571428572,1618465,0.8908055218196029,Very High,7.4863,80.3647
Anuradhapura,2026-07-06,146,16.965401040002323,46.25,37.660000000000075,28.854285714285712,68.91571428571429,860575,0.7000009223245918,High,8.3114,80.4037
Kilinochchi,2026-07-06,17,14.976654039291693,108.25,38.94,29.544285714285714,72.99857142857142,113510,0.6666675888737673,High,9.3803,80.377
Vavuniya,2026-07-06,29,16.849199663016005,34.75,26.780000000000058,29.442857142857143,68.30285714285715,172115,0.6304357043584486,High,8.7514,80.4971
Batticaloa,2026-07-06,60,11.394561375855305,67.25,83.91999999999999,29.54,72.84,526567,0.449439117313104,High,7.7102,81.6924
Mannar,2026-07-06,11,11.047504268353922,100.75,31.93,29.017142857142858,73.97714285714287,99570,0.4214294842999949,High,8.981,79.9044
Ampara,2026-07-06,64,9.855220649151065,30.5,83.91999999999999,29.54,72.84,649402,0.2793305078089993,Moderate,7.2917,81.6747
Jaffna,2026-07-06,46,7.8783041778989595,27.75,36.74999999999993,29.428571428571427,74.93571428571428,583882,0.26851941241017196,Moderate,9.6615,80.0255
NuwaraEliya,2026-07-06,68,9.555339467486553,87.5,146.58000000000013,24.26571428571429,87.49714285714286,711644,0.21538550474887277,Moderate,6.9497,80.7891
Trincomalee,2026-07-06,31,8.167760531800253,31.75,51.34999999999989,29.514285714285712,71.59428571428572,379541,0.19697057932911283,Low,8.5874,81.2152
Mullaitivu,2026-07-06,9,9.757366811943017,2.5,38.94,29.544285714285714,72.99857142857142,92238,0.17241466277605005,Low,9.267,80.8142
