district,week_start,casos,p_inc100k,currently_in_outbreak,continuation_risk,emergence_risk,casos_roll4_mean,precip_roll4_sum,tempmed,umidmed,population_total,lat,lon
Kalutara,2026-06-29,866,70.87044620556685,True,0.9990009252693227,,368.25,161.6899999999999,27.015714285714285,83.40285714285714,1221948,6.5854,80.1289
Gampaha,2026-06-29,1439,62.43402450416147,True,0.9990009252671455,,778.5,182.80999999999995,26.49857142857143,85.04285714285713,2304833,7.084,80.0098
Matara,2026-06-29,655,80.46208577381186,True,0.9990009252659818,,283.25,143.8500000000001,27.464285714285715,81.58714285714287,814048,5.9549,80.555
Colombo,2026-06-29,1264,54.38081802689699,True,0.9990009252657853,,700.75,182.80999999999995,26.49857142857143,85.04285714285713,2324349,6.9271,79.8612
Galle,2026-06-29,404,37.99370658701781,True,0.991453916695818,,363.5,148.33000000000004,28.110000000000003,80.09285714285714,1063334,6.0535,80.221
Kandy,2026-06-29,663,48.204789651166,True,0.9914539166742468,,319.25,132.19999999999993,25.04714285714286,86.08285714285715,1375382,7.2906,80.6337
Hambanthota,2026-06-29,233,38.839612404005315,True,0.9914539166557538,,150.75,152.42000000000002,28.09714285714286,79.95714285714287,599903,6.1429,81.1212
Ratnapura,2026-06-29,319,29.3196643036304,True,0.9914539166140436,,238.5,124.5499999999999,25.18285714285714,86.18142857142857,1088007,6.6828,80.3992
Kalmune,2026-06-29,65,60.87282262595992,True,0.9723766156992008,,23.75,82.37,29.052857142857142,73.85142857142857,106780,7.4098,81.8203
Monaragala,2026-06-29,99,21.94839688022383,True,0.9723766154479162,,70.5,129.23999999999995,25.14428571428571,82.14714285714285,451058,6.8728,81.3509
Kegalle,2026-06-29,189,22.482656236617466,True,0.9417484976475555,,122.75,132.19999999999993,25.04714285714286,86.08285714285715,840648,7.2513,80.3464
Kurunegala,2026-06-29,295,18.227147327869307,True,0.9417484973833985,,239.75,132.19999999999993,25.04714285714286,86.08285714285715,1618465,7.4863,80.3647
Puttalam,2026-06-29,137,17.969664059097898,True,0.9417484973041146,,92.0,72.84999999999988,27.594285714285714,80.19857142857143,762396,8.0362,79.8283
Matale,2026-06-29,81,16.717196629317833,True,0.8908055217781768,,256.25,132.19999999999993,25.04714285714286,86.08285714285715,484531,7.4675,80.6234
Polonnaruwa,2026-06-29,88,21.67017986249286,True,0.890805521762781,,43.0,73.88000000000011,28.12,74.12,406088,7.9403,81.0188
Badulla,2026-06-29,136,16.67882831231106,True,0.8908055214345661,,75.0,129.23999999999995,25.14428571428571,82.14714285714285,815405,6.9934,81.055
Batticaloa,2026-06-29,76,14.433111076083387,True,0.7816101177983024,,60.25,82.37,29.052857142857142,73.85142857142857,526567,7.7102,81.6924
Jaffna,2026-06-29,49,8.392106624283674,False,0.27933050699573914,0.37142949878334486,20.0,14.359999999999928,29.557142857142857,74.31857142857143,583882,9.6615,80.0255
NuwaraEliya,2026-06-29,64,8.99326067528146,False,0.2685194158907036,0.2876721498605731,74.75,144.15000000000012,23.604285714285712,88.84,711644,6.9497,80.7891
Kilinochchi,2026-06-29,2,1.761959298740199,False,0.19697058437359244,0.14966073024198104,108.75,25.45,29.415714285714284,73.97571428571429,113510,9.3803,80.377
Ampara,2026-06-29,56,8.623318068007181,False,0.19697058280305815,0.4430389075558082,20.25,82.37,29.052857142857142,73.85142857142857,649402,7.2917,81.6747
Trincomalee,2026-06-29,24,6.323427508490519,False,0.1969705784861796,0.16287967867902423,35.25,55.31999999999988,28.954285714285714,73.94857142857143,379541,8.5874,81.2152
Anuradhapura,2026-06-29,80,9.296110158905382,False,0.16058480319739873,0.2080933936277761,32.25,36.71000000000008,28.127142857142854,72.92571428571429,860575,8.3114,80.4037
Mannar,2026-06-29,6,6.0259114191021395,False,0.10000084261608823,0.20809339616460376,100.5,10.65,29.084285714285716,73.93285714285715,99570,8.981,79.9044
Vavuniya,2026-06-29,9,5.229061964384278,False,0.05907851510072821,0.16287967620600077,34.75,21.230000000000057,28.99142857142857,70.70857142857143,172115,8.7514,80.4971
Mullaitivu,2026-06-29,2,2.168303735987337,False,0.03881337699223937,0.09574547373301269,2.75,25.45,29.415714285714284,73.97571428571429,92238,9.267,80.8142
