,gain
p_inc100k,1104424.9008693695
inc_roll4,289817.70329761505
precip_roll4_sum,46298.122155189514
population_total,25150.083925247192
casos_growth_1,23131.63237953186
precip_total_semana_lag_4,22105.265913963318
casos_growth_4,21593.24676799774
week_sin,20145.32936191559
umidmed_lag_4,18224.29480457306
precip_roll8_sum,16722.2996635437
tempmin,16083.841853141785
tempmax,15694.416425704956
casos_lag_1,14417.029634475708
tempmed_roll8_mean,13391.491495132446
week_cos,13076.510285377502
casos,11600.9936170578
tempmed_lag_4,11363.169631004333
casos_roll8_mean,11245.96140384674
tempmed_lag_1,10710.958045959473
casos_lag_8,10493.228921890259
precip_max_semana,10207.162787437439
precip_total_semana,9606.807905197144
tempmed,9490.98840045929
tempmed_roll4_mean,9048.892075538635
casos_roll4_mean,8832.657700538635
casos_lag_4,8553.813095092773
precip_total_semana_lag_1,8370.497982025146
umidmax,8030.633284568787
casos_lag_2,7178.877286911011
umidmed_lag_1,6651.648403167725
umidmed,5442.583400726318
umidmin,4703.521971702576
population_density,4600.882501602173
dias_lluvia_semana,2037.6495056152344
precip_media_semana,1983.6669960021973
