district,week_start,week_end,cases,prev_week,change,change_pct,cumulative,population,inc100k,lat,lon
Gampaha,2026-09-07,2026-09-13,218,224,-6,-2.6785714285714284,20741,2304833,9.458385922103684,7.084,80.0098
Colombo,2026-09-07,2026-09-13,207,222,-15,-6.756756756756757,23161,2324349,8.90571940788582,6.9271,79.8612
Kandy,2026-09-07,2026-09-13,174,158,16,10.126582278481013,7289,1375382,12.651030768179314,7.2906,80.6337
Kalutara,2026-09-07,2026-09-13,73,71,2,2.8169014084507045,7537,1221948,5.974067636266028,6.5854,80.1289
Galle,2026-09-07,2026-09-13,69,47,22,46.808510638297875,5329,1063334,6.489024144812449,6.0535,80.221
Kegalle,2026-09-07,2026-09-13,69,58,11,18.96551724137931,2901,840648,8.207953864161931,7.2513,80.3464
Ratnapura,2026-09-07,2026-09-13,44,55,-11,-20.0,5159,1088007,4.044091628086951,6.6828,80.3992
Kurunegala,2026-09-07,2026-09-13,38,29,9,31.03448275862069,2760,1618465,2.347903723589945,7.4863,80.3647
Matara,2026-09-07,2026-09-13,38,41,-3,-7.317073170731707,6207,814048,4.668029403671528,5.9549,80.555
Puttalam,2026-09-07,2026-09-13,33,37,-4,-10.81081081081081,2141,762396,4.328459225914092,8.0362,79.8283
Kalmune,2026-09-07,2026-09-13,31,32,-1,-3.125,1165,106780,29.0316538677655,7.4098,81.8203
Badulla,2026-09-07,2026-09-13,25,23,2,8.695652173913043,1542,815405,3.0659610868218863,6.9934,81.055
Jaffna,2026-09-07,2026-09-13,22,19,3,15.789473684210526,1001,583882,3.7678846068212413,9.6615,80.0255
Hambanthota,2026-09-07,2026-09-13,22,21,1,4.761904761904762,2575,599903,3.6672595402923474,6.1429,81.1212
NuwaraEliya,2026-09-07,2026-09-13,14,18,-4,-22.22222222222222,773,711644,1.9672757727178196,6.9497,80.7891
Batticaloa,2026-09-07,2026-09-13,13,21,-8,-38.095238095238095,1557,526567,2.468821631435316,7.7102,81.6924
Matale,2026-09-07,2026-09-13,12,10,2,20.0,1010,484531,2.476621722861901,7.4675,80.6234
Polonnaruwa,2026-09-07,2026-09-13,12,8,4,50.0,768,406088,2.9550245267035717,7.9403,81.0188
Anuradhapura,2026-09-07,2026-09-13,11,30,-19,-63.33333333333333,993,860575,1.27821514684949,8.3114,80.4037
Monaragala,2026-09-07,2026-09-13,11,11,0,0.0,1217,451058,2.4387107644693145,6.8728,81.3509
Ampara,2026-09-07,2026-09-13,10,12,-2,-16.666666666666664,692,649402,1.5398782264298538,7.2917,81.6747
Trincomalee,2026-09-07,2026-09-13,5,5,0,0.0,689,379541,1.3173807309355248,8.5874,81.2152
Kilinochchi,2026-09-07,2026-09-13,3,0,3,300.0,95,113510,2.6429389481102987,9.3803,80.377
Vavuniya,2026-09-07,2026-09-13,1,0,1,100.0,166,172115,0.5810068849315864,8.7514,80.4971
Mullaitivu,2026-09-07,2026-09-13,1,0,1,100.0,74,92238,1.0841518679936686,9.267,80.8142
Mannar,2026-09-07,2026-09-13,0,0,0,0.0,95,99570,0.0,8.981,79.9044
