district,week_start,cases
Ampara,2026-06-22,55
Ampara,2026-06-29,55
Ampara,2026-07-06,56
Ampara,2026-07-13,70
Ampara,2026-07-20,30
Ampara,2026-07-27,27
Ampara,2026-08-03,14
Ampara,2026-08-10,19
Ampara,2026-08-17,11
Ampara,2026-08-24,23
Ampara,2026-08-31,11
Ampara,2026-09-07,10
Anuradhapura,2026-06-22,95
Anuradhapura,2026-06-29,87
Anuradhapura,2026-07-06,70
Anuradhapura,2026-07-13,128
Anuradhapura,2026-07-20,64
Anuradhapura,2026-07-27,64
Anuradhapura,2026-08-03,36
Anuradhapura,2026-08-10,37
Anuradhapura,2026-08-17,42
Anuradhapura,2026-08-24,15
Anuradhapura,2026-08-31,30
Anuradhapura,2026-09-07,11
Badulla,2026-06-22,97
Badulla,2026-06-29,128
Badulla,2026-07-06,172
Badulla,2026-07-13,114
Badulla,2026-07-20,148
Badulla,2026-07-27,101
Badulla,2026-08-03,54
Badulla,2026-08-10,69
Badulla,2026-08-17,41
Badulla,2026-08-24,25
Badulla,2026-08-31,23
Badulla,2026-09-07,25
Batticaloa,2026-06-22,46
Batticaloa,2026-06-29,70
Batticaloa,2026-07-06,63
Batticaloa,2026-07-13,47
Batticaloa,2026-07-20,44
Batticaloa,2026-07-27,49
Batticaloa,2026-08-03,37
Batticaloa,2026-08-10,33
Batticaloa,2026-08-17,24
Batticaloa,2026-08-24,17
Batticaloa,2026-08-31,21
Batticaloa,2026-09-07,13
Colombo,2026-06-22,1174
Colombo,2026-06-29,1676
Colombo,2026-07-06,1628
Colombo,2026-07-13,1535
Colombo,2026-07-20,1452
Colombo,2026-07-27,1004
Colombo,2026-08-03,747
Colombo,2026-08-10,623
Colombo,2026-08-17,442
Colombo,2026-08-24,295
Colombo,2026-08-31,222
Colombo,2026-09-07,207
Galle,2026-06-22,247
Galle,2026-06-29,407
Galle,2026-07-06,438
Galle,2026-07-13,322
Galle,2026-07-20,266
Galle,2026-07-27,246
Galle,2026-08-03,157
Galle,2026-08-10,121
Galle,2026-08-17,92
Galle,2026-08-24,54
Galle,2026-08-31,47
Galle,2026-09-07,69
Gampaha,2026-06-22,1750
Gampaha,2026-06-29,1867
Gampaha,2026-07-06,1843
Gampaha,2026-07-13,1814
Gampaha,2026-07-20,1503
Gampaha,2026-07-27,931
Gampaha,2026-08-03,759
Gampaha,2026-08-10,606
Gampaha,2026-08-17,369
Gampaha,2026-08-24,271
Gampaha,2026-08-31,224
Gampaha,2026-09-07,218
Hambanthota,2026-06-22,144
Hambanthota,2026-06-29,220
Hambanthota,2026-07-06,180
Hambanthota,2026-07-13,176
Hambanthota,2026-07-20,123
Hambanthota,2026-07-27,96
Hambanthota,2026-08-03,71
Hambanthota,2026-08-10,51
Hambanthota,2026-08-17,44
Hambanthota,2026-08-24,15
Hambanthota,2026-08-31,21
Hambanthota,2026-09-07,22
Jaffna,2026-06-22,26
Jaffna,2026-06-29,55
Jaffna,2026-07-06,49
Jaffna,2026-07-13,55
Jaffna,2026-07-20,23
Jaffna,2026-07-27,44
Jaffna,2026-08-03,46
Jaffna,2026-08-10,9
Jaffna,2026-08-17,16
Jaffna,2026-08-24,17
Jaffna,2026-08-31,19
Jaffna,2026-09-07,22
Kalmune,2026-06-22,43
Kalmune,2026-06-29,71
Kalmune,2026-07-06,45
Kalmune,2026-07-13,51
Kalmune,2026-07-20,38
Kalmune,2026-07-27,32
Kalmune,2026-08-03,35
Kalmune,2026-08-10,59
Kalmune,2026-08-17,29
Kalmune,2026-08-24,31
Kalmune,2026-08-31,33
Kalmune,2026-09-07,31
Kalutara,2026-06-22,463
Kalutara,2026-06-29,688
Kalutara,2026-07-06,617
Kalutara,2026-07-13,524
Kalutara,2026-07-20,442
Kalutara,2026-07-27,372
Kalutara,2026-08-03,257
Kalutara,2026-08-10,167
Kalutara,2026-08-17,136
Kalutara,2026-08-24,94
Kalutara,2026-08-31,72
Kalutara,2026-09-07,73
Kandy,2026-06-22,486
Kandy,2026-06-29,639
Kandy,2026-07-06,665
Kandy,2026-07-13,660
Kandy,2026-07-20,526
Kandy,2026-07-27,390
Kandy,2026-08-03,332
Kandy,2026-08-10,273
Kandy,2026-08-17,188
Kandy,2026-08-24,152
Kandy,2026-08-31,159
Kandy,2026-09-07,174
Kegalle,2026-06-22,192
Kegalle,2026-06-29,186
Kegalle,2026-07-06,185
Kegalle,2026-07-13,225
Kegalle,2026-07-20,174
Kegalle,2026-07-27,171
Kegalle,2026-08-03,118
Kegalle,2026-08-10,109
Kegalle,2026-08-17,83
Kegalle,2026-08-24,65
Kegalle,2026-08-31,58
Kegalle,2026-09-07,69
Kilinochchi,2026-06-22,5
Kilinochchi,2026-06-29,2
Kilinochchi,2026-07-06,11
Kilinochchi,2026-07-13,6
Kilinochchi,2026-07-20,5
Kilinochchi,2026-07-27,2
Kilinochchi,2026-08-03,2
Kilinochchi,2026-08-10,8
Kilinochchi,2026-08-17,1
Kilinochchi,2026-08-24,0
Kilinochchi,2026-08-31,0
Kilinochchi,2026-09-07,3
Kurunegala,2026-06-22,184
Kurunegala,2026-06-29,258
Kurunegala,2026-07-06,212
Kurunegala,2026-07-13,256
Kurunegala,2026-07-20,200
Kurunegala,2026-07-27,142
Kurunegala,2026-08-03,86
Kurunegala,2026-08-10,68
Kurunegala,2026-08-17,49
Kurunegala,2026-08-24,38
Kurunegala,2026-08-31,29
Kurunegala,2026-09-07,38
Mannar,2026-06-22,7
Mannar,2026-06-29,10
Mannar,2026-07-06,7
Mannar,2026-07-13,14
Mannar,2026-07-20,4
Mannar,2026-07-27,4
Mannar,2026-08-03,1
Mannar,2026-08-10,1
Mannar,2026-08-17,2
Mannar,2026-08-24,1
Mannar,2026-08-31,0
Mannar,2026-09-07,0
Matale,2026-06-22,42
Matale,2026-06-29,79
Matale,2026-07-06,65
Matale,2026-07-13,77
Matale,2026-07-20,35
Matale,2026-07-27,47
Matale,2026-08-03,43
Matale,2026-08-10,30
Matale,2026-08-17,15
Matale,2026-08-24,11
Matale,2026-08-31,10
Matale,2026-09-07,12
Matara,2026-06-22,364
Matara,2026-06-29,627
Matara,2026-07-06,462
Matara,2026-07-13,454
Matara,2026-07-20,320
Matara,2026-07-27,208
Matara,2026-08-03,109
Matara,2026-08-10,92
Matara,2026-08-17,57
Matara,2026-08-24,43
Matara,2026-08-31,41
Matara,2026-09-07,38
Monaragala,2026-06-22,88
Monaragala,2026-06-29,96
Monaragala,2026-07-06,97
Monaragala,2026-07-13,93
Monaragala,2026-07-20,67
Monaragala,2026-07-27,65
Monaragala,2026-08-03,28
Monaragala,2026-08-10,25
Monaragala,2026-08-17,25
Monaragala,2026-08-24,17
Monaragala,2026-08-31,11
Monaragala,2026-09-07,11
Mullaitivu,2026-06-22,1
Mullaitivu,2026-06-29,0
Mullaitivu,2026-07-06,5
Mullaitivu,2026-07-13,7
Mullaitivu,2026-07-20,2
Mullaitivu,2026-07-27,6
Mullaitivu,2026-08-03,14
Mullaitivu,2026-08-10,3
Mullaitivu,2026-08-17,2
Mullaitivu,2026-08-24,0
Mullaitivu,2026-08-31,0
Mullaitivu,2026-09-07,1
NuwaraEliya,2026-06-22,50
NuwaraEliya,2026-06-29,88
NuwaraEliya,2026-07-06,61
NuwaraEliya,2026-07-13,95
NuwaraEliya,2026-07-20,74
NuwaraEliya,2026-07-27,49
NuwaraEliya,2026-08-03,33
NuwaraEliya,2026-08-10,31
NuwaraEliya,2026-08-17,18
NuwaraEliya,2026-08-24,10
NuwaraEliya,2026-08-31,17
NuwaraEliya,2026-09-07,14
Polonnaruwa,2026-06-22,58
Polonnaruwa,2026-06-29,66
Polonnaruwa,2026-07-06,85
Polonnaruwa,2026-07-13,48
Polonnaruwa,2026-07-20,49
Polonnaruwa,2026-07-27,33
Polonnaruwa,2026-08-03,13
Polonnaruwa,2026-08-10,19
Polonnaruwa,2026-08-17,15
Polonnaruwa,2026-08-24,4
Polonnaruwa,2026-08-31,8
Polonnaruwa,2026-09-07,12
Puttalam,2026-06-22,171
Puttalam,2026-06-29,155
Puttalam,2026-07-06,192
Puttalam,2026-07-13,231
Puttalam,2026-07-20,153
Puttalam,2026-07-27,119
Puttalam,2026-08-03,94
Puttalam,2026-08-10,65
Puttalam,2026-08-17,34
Puttalam,2026-08-24,38
Puttalam,2026-08-31,37
Puttalam,2026-09-07,33
Ratnapura,2026-06-22,193
Ratnapura,2026-06-29,329
Ratnapura,2026-07-06,380
Ratnapura,2026-07-13,344
Ratnapura,2026-07-20,256
Ratnapura,2026-07-27,159
Ratnapura,2026-08-03,152
Ratnapura,2026-08-10,86
Ratnapura,2026-08-17,58
Ratnapura,2026-08-24,54
Ratnapura,2026-08-31,55
Ratnapura,2026-09-07,44
Trincomalee,2026-06-22,24
Trincomalee,2026-06-29,47
Trincomalee,2026-07-06,22
Trincomalee,2026-07-13,28
Trincomalee,2026-07-20,8
Trincomalee,2026-07-27,20
Trincomalee,2026-08-03,13
Trincomalee,2026-08-10,15
Trincomalee,2026-08-17,8
Trincomalee,2026-08-24,3
Trincomalee,2026-08-31,5
Trincomalee,2026-09-07,5
Vavuniya,2026-06-22,4
Vavuniya,2026-07-13,11
Vavuniya,2026-07-20,8
Vavuniya,2026-07-27,10
Vavuniya,2026-08-03,6
Vavuniya,2026-08-10,9
Vavuniya,2026-08-17,1
Vavuniya,2026-08-24,3
Vavuniya,2026-08-31,0
Vavuniya,2026-09-07,1
